"capture_id","season","site","roll","capture","capture_date_local","capture_time_local","zooniverse_url_0","zooniverse_url_1","zooniverse_url_2","subject_id","question__species","question__count_max","question__count_median","question__count_min","question__standing","question__resting","question__moving","question__eating","question__interacting","question__young_present","question__horns_count_max","question__horns_count_median","question__horns_count_min","question__horns_visible","p_users_identified_this_species","pielous_evenness_index"
"WLD_S1#A08#1#207","WLD_S1","A08",1,207,"2018-07-25","01:30:13","https://panoptes-uploads.zooniverse.org/production/subject_location/9f23903e-1770-47b5-8ac9-57b9706515a8.jpeg","https://panoptes-uploads.zooniverse.org/production/subject_location/fc50dbcb-83f4-4d30-8f56-6bd8206fca41.jpeg",NA,38953527,"honeybadger","2","2","2",0,0,1,0,0,0,NA,NA,NA,NA,0.8,0.58
"WLD_S1#A08#1#422","WLD_S1","A08",1,422,"2018-10-03","02:32:33","https://panoptes-uploads.zooniverse.org/production/subject_location/cc8a0d8f-d422-4a30-b934-9fbe1fff1f17.jpeg","https://panoptes-uploads.zooniverse.org/production/subject_location/c4453914-7573-4f43-803d-86c17bf5b2ae.jpeg",NA,39062303,"genet","1","1","1",0,0,1,0,0,0,NA,NA,NA,NA,0.5,0.84
"WLD_S1#A08#1#573","WLD_S1","A08",1,573,"2018-10-09","03:58:11","https://panoptes-uploads.zooniverse.org/production/subject_location/9c35fe5f-5868-4c64-8236-742133402c46.jpeg","https://panoptes-uploads.zooniverse.org/production/subject_location/48391c23-1426-431d-9bd5-fc082c3e3601.jpeg",NA,38905770,"civet","1","1","1",0.2,0,0.8,0,0,0,NA,NA,NA,NA,0.36,0.91
"WLD_S1#A08#1#834","WLD_S1","A08",1,834,"2018-10-24","20:59:04","https://panoptes-uploads.zooniverse.org/production/subject_location/5edc74cc-0622-451c-ba84-c8cc52a9f2fb.jpeg","https://panoptes-uploads.zooniverse.org/production/subject_location/fd0b88df-675b-43f2-a6bc-c3c870c20025.jpeg",NA,39052006,"honeybadger","1","1","1",0,0,1,0,0,0,NA,NA,NA,NA,0.8,0.58
"WLD_S1#A08#1#953","WLD_S1","A08",1,953,"2018-10-29","21:58:39","https://panoptes-uploads.zooniverse.org/production/subject_location/aaa0c8d9-ed65-4e8b-9720-1e6cc34a4eab.jpeg","https://panoptes-uploads.zooniverse.org/production/subject_location/6d0341ec-3c3b-41c3-886e-5ef61f5908b1.jpeg",NA,39058881,"genet","1","1","1",0,0,1,0,0,0.12,NA,NA,NA,NA,0.89,0.5
"WLD_S1#A08#1#1002","WLD_S1","A08",1,1002,"2018-10-31","03:51:04","https://panoptes-uploads.zooniverse.org/production/subject_location/3a9ba7f8-bcf9-4d75-8f4c-d5e4f74a863d.jpeg","https://panoptes-uploads.zooniverse.org/production/subject_location/41e9b8fb-8bac-40c4-bb94-5f054d64152a.jpeg",NA,38906257,"genet","1","1","1",0.67,0,0.33,0,0,0,NA,NA,NA,NA,0.9,0.47
"WLD_S1#A08#1#1064","WLD_S1","A08",1,1064,"2018-11-05","00:15:53","https://panoptes-uploads.zooniverse.org/production/subject_location/07bf3187-97e6-4c56-9bd4-6c556152eac1.jpeg","https://panoptes-uploads.zooniverse.org/production/subject_location/97040510-5be1-4f7f-908b-431273562ad3.jpeg",NA,38933799,"genet","1","1","1",0,0,1,0,0,0,NA,NA,NA,NA,0.8,0.58
"WLD_S1#A08#1#1192","WLD_S1","A08",1,1192,"2018-11-10","00:53:38","https://panoptes-uploads.zooniverse.org/production/subject_location/524badd2-147d-4e65-9ce9-0ef08dbbbfe7.jpeg","https://panoptes-uploads.zooniverse.org/production/subject_location/e02da69c-79d7-4cf3-aae8-892403517ec2.jpeg",NA,38903997,"genet","1","1","1",0,0,1,0,0,0,NA,NA,NA,NA,0.8,0.64
"WLD_S1#A08#1#1435","WLD_S1","A08",1,1435,"2018-11-19","04:53:30","https://panoptes-uploads.zooniverse.org/production/subject_location/c92d61b7-3796-4bfa-a924-5346dba0197f.jpeg","https://panoptes-uploads.zooniverse.org/production/subject_location/4e6da8b6-abf8-4578-bef0-956ff3437851.jpeg",NA,38941778,"honeybadger","1","1","1",0,0,1,0,0,0,NA,NA,NA,NA,0.8,0.58
"WLD_S1#A08#1#1451","WLD_S1","A08",1,1451,"2018-11-20","01:48:18","https://panoptes-uploads.zooniverse.org/production/subject_location/ddcbf277-3b8b-49b7-bd56-4ca5ab33d5c5.jpeg","https://panoptes-uploads.zooniverse.org/production/subject_location/e7096e76-3684-4f2e-99b6-5429b3394404.jpeg",NA,38886253,"genet","1","1","1",0.14,0,0.86,0,0,0,NA,NA,NA,NA,0.78,0.62
