"capture_id","season","site","roll","capture","capture_date_local","capture_time_local","zooniverse_url_0","zooniverse_url_1","zooniverse_url_2","subject_id","question__species","question__count_max","question__count_median","question__count_min","question__standing","question__resting","question__moving","question__eating","question__interacting","question__young_present","question__horns_count_max","question__horns_count_median","question__horns_count_min","question__horns_visible","p_users_identified_this_species","pielous_evenness_index"
"WLD_S1#A08#1#275","WLD_S1","A08",1,275,"2018-08-14","22:02:28","https://panoptes-uploads.zooniverse.org/production/subject_location/33fec897-2d14-407b-a02a-465891361b8d.jpeg","https://panoptes-uploads.zooniverse.org/production/subject_location/3cf3e08c-7d3e-4ec2-b83c-507b2115d0f0.jpeg",NA,38879118,"mongoose","1","1","1",0.12,0,0.88,0,0,0,NA,NA,NA,NA,0.8,0.58
"WLD_S1#A08#1#312","WLD_S1","A08",1,312,"2018-09-03","07:30:48","https://panoptes-uploads.zooniverse.org/production/subject_location/a0d34ef2-d515-494c-a780-5c1b3e61eac9.jpeg","https://panoptes-uploads.zooniverse.org/production/subject_location/13ecf7c8-cbd7-482e-9dff-ea244cf1b0bf.jpeg",NA,38883127,"mongoose","6","5","3",0,0,1,0.33,0.17,0.33,NA,NA,NA,NA,0.75,0.81
"WLD_S1#B05#1#497","WLD_S1","B05",1,497,"2018-07-02","01:57:57","https://panoptes-uploads.zooniverse.org/production/subject_location/3f872abf-0e71-404d-a46e-ce3273b59472.jpeg","https://panoptes-uploads.zooniverse.org/production/subject_location/853c4c46-6dc6-4400-b758-a35c677b006a.jpeg",NA,38931670,"mongoose","1","1","1",0,0,1,0,0,0,NA,NA,NA,NA,0.25,0.96
"WLD_S1#B05#1#12095","WLD_S1","B05",1,12095,"2018-09-26","10:45:38","https://panoptes-uploads.zooniverse.org/production/subject_location/fc0c7f1b-599e-439d-aa90-5f4de90e9d56.jpeg","https://panoptes-uploads.zooniverse.org/production/subject_location/6bd75d04-2d93-4d68-a19c-eace6509d7e2.jpeg",NA,38961914,"mongoose","1","1","1",0,0,1,0,0,0,NA,NA,NA,NA,0.4,0.83
"WLD_S1#B09#1#272","WLD_S1","B09",1,272,"2018-07-01","01:32:21","https://panoptes-uploads.zooniverse.org/production/subject_location/09a1c851-f1bf-4e03-a8d6-41594c35f785.jpeg","https://panoptes-uploads.zooniverse.org/production/subject_location/b239a05c-04ee-4764-9dd1-2bc8849100c1.jpeg",NA,38903241,"mongoose","1","1","1",0,0,1,0,0,0.1,NA,NA,NA,NA,1,0
"WLD_S1#B09#1#566","WLD_S1","B09",1,566,"2018-08-16","02:59:34","https://panoptes-uploads.zooniverse.org/production/subject_location/389e0282-c306-4ca0-b51f-daa00b1cb15e.jpeg","https://panoptes-uploads.zooniverse.org/production/subject_location/ac8ee44f-312a-48d9-993d-a9499455e190.jpeg",NA,38966619,"mongoose","1","1","1",0,0,1,0,0,0,NA,NA,NA,NA,0.5,0.84
"WLD_S1#B09#1#596","WLD_S1","B09",1,596,"2018-08-29","23:42:07","https://panoptes-uploads.zooniverse.org/production/subject_location/78f194ec-1182-4f8b-9401-f556f0d95d21.jpeg","https://panoptes-uploads.zooniverse.org/production/subject_location/8de9c33f-727d-4f6e-ada3-859e5ca4503d.jpeg",NA,39092444,"mongoose","1","1","1",0,0,1,0,0,0,NA,NA,NA,NA,0.5,0.88
"WLD_S1#B09#1#597","WLD_S1","B09",1,597,"2018-08-30","02:52:37","https://panoptes-uploads.zooniverse.org/production/subject_location/2e22741b-6404-4062-b12b-e0eb6b967f3e.jpeg","https://panoptes-uploads.zooniverse.org/production/subject_location/768eeb9e-e94b-4584-99c3-ea401081087a.jpeg",NA,38967333,"mongoose","1","1","1",0.14,0,1,0,0,0,NA,NA,NA,NA,0.7,0.73
"WLD_S1#B09#1#623","WLD_S1","B09",1,623,"2018-09-03","06:11:29","https://panoptes-uploads.zooniverse.org/production/subject_location/fc3bef7c-2adc-4975-80ab-28a253790683.jpeg","https://panoptes-uploads.zooniverse.org/production/subject_location/b52f15fb-06e0-450e-adc7-ec3b2c3f1cad.jpeg",NA,38929351,"mongoose","1","1","1",0,0,1,0,0,0,NA,NA,NA,NA,0.8,0.58
"WLD_S1#B09#1#624","WLD_S1","B09",1,624,"2018-09-04","05:51:38","https://panoptes-uploads.zooniverse.org/production/subject_location/c3e346e5-fd51-4702-82e9-82b71927040b.jpeg","https://panoptes-uploads.zooniverse.org/production/subject_location/c7a109b8-30be-4f27-a900-f9b47f59ead9.jpeg",NA,38970576,"mongoose","1","1","1",0.14,0,0.86,0,0,0,NA,NA,NA,NA,0.7,0.68
