Camera,Start,End,Problem1_from,Problem1_to,Notes,,,
A08,5/27/18,1/1/19,,,lots misfires but not obstructing ct view,,,
A10,11/9/18,7/6/19,12/26/18,6/3/19,,,,
B05,6/28/18,10/8/18,,,lots misfires but not obstructing ct view,,,
B07,6/28/18,5/25/19,,,smashed 12/31/2018; date reset but corrected in additional year 3 data,,,
B09,5/27/18,5/24/19,,,reset in January; continued taking pictures until collected in May; fixed Jan-May date time in additional year 3 data,,,
C06,5/13/18,5/17/19,1/27/19,3/21/19,"grass overgrew camera in jan, died down by march",,,
C08,5/11/18,5/24/19,,,lots misfires but not obstructing ct view,,,
D03,6/28/18,3/20/19,1/12/19,3/14/19,camera field of view overgrown; clears when floodwaters come,,,
D05,6/28/18,5/25/19,,,"resets 2x, but runs until collected; fixed timeshift in additional data year 3",,,
D07,5/8/18,7/20/18,,,resets multiple time; figured out some of reset,,,
E02,5/8/18,9/7/18,,,many misfires,,,
E04,6/10/18,8/6/18,,,many misfires,,,
E06,5/11/18,9/11/18,,,many misfires; image overexposed,,,
E08,5/13/18,5/27/19,,,,,,
E10,5/27/18,5/28/19,1/10/19,3/26/19,overgorwn,,,
E12,6/28/18,6/30/18,,,,,,
F01,5/8/18,3/14/19,1/17/19,3/14/19,,,,
F03,9/15/18,5/27/19,,,,,,
F05,5/11/18,5/27/19,,,,,,
F07,9/15/18,5/27/19,,,,,,
F11,5/27/18,5/26/19,,,,,,
G02,5/14/18,3/14/19,,,,,,
G04,5/11/18,3/14/19,,,,,,
G06,5/13/18,5/27/19,,,,,,
G08,9/15/18,5/29/19,,,,,,
G12,7/24/18,5/28/19,,,,,,
H05,9/15/18,5/27/19,,,,,,
H07,9/15/18,11/21/18,,,lots of misfires,,,
I04,6/10/18,3/17/19,,,,,,
I06,5/13/18,10/18/18,,,lots of misfires,,,
I08,6/29/18,3/22/19,1/10/19,3/1/19,lots of misfires; overgrew,,,
I10,6/29/18,5/28/19,,,,,,
I12,5/27/18,5/26/19,,,,,,
J03,7/3/18,1/24/19,12/30/18,1/24/19,,,,
J05,6/1/18,6/3/19,1/27/19,3/16/19,,,,
J07,7/3/18,7/18/19,,,,,,
J11,6/29/18,7/18/19,,,,,,
J13,6/29/18,3/27/19,,,,,,
K04,7/24/18,3/16/19,,,,,,
K06,9/15/18,5/26/19,,,some photos with date reset,,,
K08,9/12/18,6/3/19,1/9/19,4/17/19,,,,
K10,9/12/18,6/3/19,,,,,,
K12,6/29/18,5/26/19,,,,,,
L11,6/29/18,5/26/19,,,,,,
