"Camera","Start","End","Problem1_from","Problem1_to","Problem2_from","Problem2_to","Problem3_from","Problem3_to","Problem4_from","Problem4_to","Problem5_from","Problem5_to","Notes_3","Notes_4"
"A06","7/7/16","12/31/16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A08","7/7/16","10/13/19","1/31/17","6/16/17","2/7/18","5/27/18","1/1/19","5/24/19",NA,NA,NA,NA,"lots misfires but not obstructing ct view",NA
"A10","7/7/16","10/13/19","12/21/16","6/17/17","11/7/17","11/9/18","12/26/18","6/3/19",NA,NA,"7/6/19","7/13/19",NA,NA
"B05","7/5/16","10/13/19","1/13/17","2/23/17","6/27/17","6/28/18","10/8/18","5/25/19",NA,NA,NA,NA,"lots misfires but not obstructing ct view","Lots of misfires, but no vegetation obstructing camera"
"B07","7/5/16","10/13/19","5/25/19","8/12/19",NA,NA,NA,NA,NA,NA,NA,NA,"smashed 12/31/2018; date reset but corrected in additional year 3 data","Corrected timestamp, but lots of missing data"
"B09","7/7/16","10/13/19","1/10/17","4/22/17","1/20/18","2/18/18",NA,NA,NA,NA,NA,NA,"reset in January; continued taking pictures until collected in May; fixed Jan-May date time in additional year 3 data",NA
"C06","7/5/16","9/11/19","1/7/17","4/15/17","12/29/17","5/13/18","1/27/19","3/21/19",NA,NA,"5/17/19","5/25/19","grass overgrew camera in jan, died down by march","Smashed by elephants and reset"
"C08","7/5/16","10/8/19","5/24/19","5/25/19",NA,NA,NA,NA,NA,NA,NA,NA,"lots misfires but not obstructing ct view",NA
"D03","6/23/16","10/8/19","12/27/16","6/9/17","12/28/17","3/18/18","1/12/19","3/14/19",NA,NA,"3/20/19","5/25/19","camera field of view overgrown; clears when floodwaters come","Lots of misfires, but no vegetation obstructing camera"
"D05","7/6/16","10/8/19","1/20/17","6/11/17","4/10/18","6/28/18",NA,NA,NA,NA,NA,NA,"resets 2x, but runs until collected; fixed timeshift in additional data year 3","Timestamp resets"
"D07","6/23/16","10/13/19","9/21/16","10/28/16","7/20/18","5/28/19",NA,NA,NA,NA,NA,NA,"resets multiple time; figured out some of reset","Some misfires, but no vegetation obstructing camera"
"D09","7/11/16","12/24/16","8/7/16","11/13/16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E02","6/23/16","10/8/19","2/20/17","6/9/17","1/7/18","5/8/18","9/7/18","6/4/19",NA,NA,NA,NA,"many misfires",NA
"E04","7/6/16","6/5/19","9/9/17","6/10/18","8/6/18","5/25/19",NA,NA,NA,NA,NA,NA,"many misfires","FIGURE OUT RESET"
"E06","6/25/16","9/27/19","1/28/17","5/11/17","8/16/17","5/11/18","9/11/18","5/27/19",NA,NA,NA,NA,"many misfires; image overexposed","Lots of misfires, but no vegetation obstructing camera"
"E08","6/25/16","9/7/19","12/5/16","2/16/17","12/17/17","5/13/18","5/27/19","6/2/19",NA,NA,"6/6/19","9/6/19",NA,"Blur over lens + v. few pics --> replace camera"
"E10","7/8/16","10/5/19","11/23/17","5/27/18","1/10/19","3/26/19",NA,NA,NA,NA,NA,NA,"overgorwn",NA
"E12","7/14/16","6/30/18","6/29/17","6/28/18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F01","7/6/16","10/6/19","12/4/16","6/27/17","1/17/19","3/14/19",NA,NA,NA,NA,"3/14/19","6/5/19",NA,"Lots of misfires, but no vegetation obstructing camera"
"F03","6/25/16","10/12/19","12/26/16","6/11/17","7/14/18","9/15/18",NA,NA,NA,NA,NA,NA,NA,NA
"F05","7/6/16","5/27/19","8/2/16","11/5/16","9/26/17","5/11/18",NA,NA,NA,NA,NA,NA,NA,"Only two pics - replace camera?"
