"StudySite","Operation"
"A06",122
"A08",122
"A10",122
"B05",122
"B07",122
"B09",122
"C06",122
"C08",122
"D03",122
"D05",122
"D07",85
"D09",23
"E02",122
"E04",122
"E06",122
"E08",122
"E10",122
"E12",122
"F01",122
"F03",122
"F05",26
"F07",122
"F09",83
"F11",122
"G02",96
"G04",122
"G06",122
"G08",122
"G10",122
"G12",122
"H03",122
"H05",122
"H07",122
"H09",122
"H11",122
"H13",122
"I04",122
"I06",122
"I08",122
"I10",122
"I12",122
"I14",122
"J03",122
"J05",122
"J07",122
"J09",122
"J11",119
"J13",122
"K04",79
"K06",122
"K08",122
"K10",25
"K12",122
"L05",122
"L07",122
"L09",104
"L11",122
"L13",122
"M08",122
"M10",122
