"StudySite","AEME","ALBU","ATPA","BDCR","CEAL","CENA","CHPY","CICI","COTA","GASA","GEGE","HEIC","HEPA","HIAM","HINI","HYAF","ICAL","KOEL","LEMI","LESE","LOAF","MATE","MECA","MUMU","ORAF","OTCR","OUOU","PACY","PALE","PHAF","POLA","RERE","SYCA","SYGR","TAOR","TRAN","TRST","TRSY"
"A06",32,0,0,0,0,0,4,2,5,0,15,0,0,0,0,1,1,26,0,0,0,0,1,0,0,1,23,26,0,23,4,11,1,0,0,0,4,3
"A08",14,0,0,0,0,0,0,0,0,0,39,0,0,0,1,1,2,41,1,0,2,3,0,0,0,0,1,65,0,25,4,3,0,0,0,0,5,17
"A10",0,0,0,0,1,1,15,0,0,0,17,0,0,0,0,10,0,7,0,0,6,0,0,1,0,0,0,78,0,11,9,3,0,0,0,24,1,35
"B05",31,8,1,0,0,0,7,4,4,0,6,0,0,0,4,2,1,35,6,0,0,0,0,0,5,0,33,21,0,35,3,12,2,0,0,0,5,5
"B07",35,3,1,0,0,1,1,7,41,0,8,0,0,0,2,0,2,30,7,0,1,0,0,0,0,0,20,29,0,44,4,7,0,10,0,7,5,26
"B09",17,6,0,0,1,0,7,2,0,0,33,0,0,0,0,8,0,22,1,0,2,0,0,0,0,0,4,49,0,37,1,2,1,0,0,5,3,8
"C06",15,0,4,0,2,1,0,2,0,0,18,0,0,0,1,8,2,4,3,0,0,0,0,1,6,0,78,47,0,44,6,11,1,32,1,4,7,45
"C08",26,6,0,0,12,0,6,6,0,6,39,0,0,0,0,9,1,21,1,1,0,0,4,1,0,2,20,57,0,32,6,0,0,5,0,18,3,27
"D03",11,0,2,0,0,0,11,11,0,0,32,0,0,0,1,15,1,36,0,0,0,0,5,1,0,0,11,22,1,15,3,0,0,0,0,4,3,66
"D05",41,0,0,0,1,7,4,7,0,0,7,0,0,0,0,10,2,30,1,0,0,1,0,1,0,0,14,63,0,32,5,1,0,1,0,25,11,32
"D07",34,0,4,0,0,0,1,2,1,1,17,0,0,0,4,5,1,31,3,0,0,0,0,0,0,2,9,33,0,46,1,4,0,0,0,20,10,61
"D09",0,2,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,3,0,6,2,0,0,0,0,0,0,2
"E02",71,0,4,0,0,0,0,9,0,0,2,0,0,0,0,0,0,67,22,0,0,0,0,0,0,0,82,30,1,55,1,25,0,0,0,0,4,35
"E04",37,0,0,0,0,0,22,3,0,1,14,0,0,0,1,2,0,36,0,0,1,0,1,0,0,0,17,63,0,28,5,7,0,0,0,3,0,22
"E06",20,0,1,0,0,0,0,3,0,1,6,0,0,0,0,6,0,49,0,0,1,0,0,0,0,0,2,46,0,36,4,4,0,7,0,43,17,47
"E08",8,1,0,0,0,0,0,1,2,0,3,0,0,0,0,0,0,29,0,0,2,0,0,0,0,0,4,7,0,6,2,2,0,1,0,2,1,9
"E10",7,1,0,0,0,1,0,0,0,0,20,0,0,0,5,0,0,13,0,0,5,0,1,0,0,0,14,15,0,21,1,13,0,0,0,0,5,5
"E12",0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,2,0,17,0,0,7,0,0,0,0,0,0,33,0,11,11,5,0,0,0,0,0,18
