var,mean,sd,2.50%,25%,50%,75%,97.50%,Rhat,n.eff
alpha[1],0.810893675,0.438216099,0.068186732,0.510947248,0.769586004,1.069242726,1.782386208,1.000666342,3000
alpha[10],0.582977079,0.441427662,-0.163899351,0.289935574,0.542119771,0.829432838,1.563541489,1.000714922,3000
alpha[11],1.175898415,1.367089383,-0.526774986,0.268140328,0.881664371,1.701366549,4.652115652,1.001717195,3000
alpha[2],-1.512942867,0.410055322,-2.381150299,-1.764027486,-1.491627756,-1.239936701,-0.763989578,1.002133834,3000
alpha[3],2.697948025,0.592350063,1.720170363,2.265202329,2.644415061,3.062129551,3.997239687,1.00075829,3000
alpha[4],-0.851482607,0.353094374,-1.547640219,-1.082561223,-0.849213204,-0.620958331,-0.144653566,1.000781793,3000
alpha[5],2.632709001,0.510098371,1.730272742,2.28445725,2.597268973,2.948025612,3.739762832,1.001862432,1500
alpha[6],-1.635930396,0.46427058,-2.600507316,-1.928910662,-1.615972128,-1.32505074,-0.728802144,1.000607198,3000
alpha[7],-2.584569956,0.673834532,-4.046123511,-3.009246319,-2.557030855,-2.120083664,-1.338718961,1.000623003,3000
alpha[8],1.905135041,1.346675511,0.228609148,0.986133561,1.633034139,2.470231207,5.428541481,1.002538758,1700
alpha[9],-1.68688087,0.510226929,-2.743085984,-2.007081893,-1.660382276,-1.328551475,-0.782644608,1.001407924,2200
deviance,2256.553495,29.46896648,2199.111007,2236.545637,2256.469134,2276.350244,2315.06439,1.002627176,940
mbeta[1],0.036386838,0.282422675,-0.513528423,-0.132975341,0.031290137,0.2002363,0.618144188,1.000589117,3000
mbeta[2],-0.339990121,0.18213001,-0.710367229,-0.457923757,-0.335734428,-0.221473137,0.013161392,1.00118849,2900
mbeta[3],0.130781704,0.30721839,-0.472932753,-0.050428273,0.127751989,0.311650519,0.755332047,1.001214616,3000
p.mean,0.024089151,0.008423041,0.012075592,0.018539194,0.022883103,0.027940605,0.043686948,1.000869485,3000
P[1],-4.146354615,0.145006555,-4.443329223,-4.244289646,-4.142188585,-4.044002099,-3.870725063,1.001615491,1800
P[10],-4.036017523,0.163095224,-4.363052055,-4.146814085,-4.027991236,-3.923577667,-3.737387178,1.00119257,2900
P[11],-5.305099274,0.315462663,-5.910299394,-5.526450065,-5.299944834,-5.086533052,-4.707126764,1.001097739,3000
P[2],-3.511156196,0.175484713,-3.867937363,-3.627944083,-3.508084002,-3.388997794,-3.188382187,1.000671059,3000
P[3],-2.693006727,0.052554503,-2.796289342,-2.72742956,-2.692087958,-2.656602452,-2.593961278,1.000679234,3000
P[4],-3.471916701,0.15950358,-3.791218138,-3.581375386,-3.465639226,-3.35904671,-3.17386569,1.00139371,2200
P[5],-1.818948627,0.036823722,-1.891178082,-1.843869511,-1.818264794,-1.793525015,-1.747768673,1.000956944,3000
P[6],-4.115665288,0.298099677,-4.713156503,-4.314462653,-4.112485775,-3.904340104,-3.556416917,1.000533318,3000
P[7],-4.275658511,0.484134881,-5.253868049,-4.589133433,-4.268484766,-3.956610741,-3.352107208,1.000774818,3000
P[8],-4.830498884,0.212175191,-5.243092373,-4.978026995,-4.83132073,-4.683955433,-4.426956069,1.001173962,3000
P[9],-4.126470604,0.281730359,-4.685662386,-4.31455011,-4.115756479,-3.930845356,-3.609242233,1.001496347,2000
pbeta[1],-0.098268388,0.111312905,-0.336701573,-0.161720356,-0.091288051,-0.028281106,0.107426623,1.001466855,2100
pbeta[2],0.458631811,0.282653642,-0.061327221,0.274045708,0.449108476,0.633341226,1.044492015,1.002698445,3000
psi.mean,0.533900973,0.146998089,0.240755085,0.435038845,0.53867501,0.635768323,0.811533068,1.000900627,3000
rho,0.200115842,0.385703615,-0.717945404,-0.008759898,0.22678352,0.471222394,0.856274764,1.000821842,3000
"sbeta[1,1]",-0.707410504,0.483966369,-1.790427055,-0.990936524,-0.669699387,-0.3713202,0.089957828,1.000869267,3000
"sbeta[1,2]",-0.041853872,0.230719797,-0.589008881,-0.138055474,-0.014655285,0.060355664,0.434126701,1.000891226,3000
"sbeta[1,3]",-0.523475031,0.464175088,-1.494632242,-0.805820418,-0.499382253,-0.206228285,0.30752903,1.001656148,1700
"sbeta[10,1]",-0.019201481,0.415173451,-0.803876255,-0.282413731,-0.018768812,0.213971045,0.832538275,1.000568114,3000
"sbeta[10,2]",-0.041737398,0.230272584,-0.606064361,-0.135113815,-0.013156374,0.065369124,0.401648648,1.000784182,3000
"sbeta[10,3]",-0.181560943,0.425487487,-1.071330937,-0.438769141,-0.168508642,0.091537194,0.646329013,1.000500296,3000
"sbeta[11,1]",0.246757656,0.611183447,-0.86114805,-0.132277881,0.175199365,0.580024288,1.644236516,1.000890914,3000
"sbeta[11,2]",0.039757854,0.270303223,-0.499629359,-0.068362092,0.007316708,0.138528514,0.669457848,1.002823589,860
"sbeta[11,3]",0.406987873,0.617400224,-0.701887511,0.022578381,0.348882856,0.746994405,1.790635343,1.000873664,3000
"sbeta[2,1]",0.466460003,0.413963026,-0.245768872,0.168983683,0.441376225,0.717682274,1.36235032,1.000736482,3000
