"Factor","Species","Mean","SD","LCI","UCI"
"termite.count.100m","ATPA",-0.671023665912492,0.436376467975925,-1.59523974461432,0.108418104650841
"urema_dist","ATPA",-0.381843992273788,0.261901420231434,-0.962800318116145,0.122495280248152
"tree_hansen","ATPA",-0.392693326850102,0.401973553191266,-1.22842700444191,0.342494588093028
"termite.count.100m","BDCR",0.502846841279975,0.370724713880756,-0.188839184742042,1.27708781220403
"urema_dist","BDCR",-0.362207757013677,0.253723876303387,-0.892600170910274,0.132502076926674
"tree_hansen","BDCR",1.28486074538824,0.461992116557005,0.441736778136171,2.23766214022925
"termite.count.100m","CICI",0.199154573189362,0.489359545638461,-0.631697126276915,1.33110849000367
"urema_dist","CICI",-0.489809992834316,0.312222700316324,-1.25487019476635,0.000176649673475624
"tree_hansen","CICI",-0.302076049440878,0.451022829462931,-1.20318633173878,0.54078261866177
"termite.count.100m","GASA",0.522621912935352,0.422287983896267,-0.152605549969919,1.46816664270595
"urema_dist","GASA",-0.269930818116706,0.242714978680767,-0.717528937805424,0.246527823350318
"tree_hansen","GASA",0.32817075687122,0.351307840081591,-0.308769927604576,1.05224042842961
"termite.count.100m","GEGE",-0.0963956673803667,0.389367844826223,-0.861031789840691,0.714062093151361
"urema_dist","GEGE",-0.17949979759787,0.310671645749659,-0.674995780610979,0.604806351361886
"tree_hansen","GEGE",-0.0382282626289187,0.458819060056025,-0.9069132896449,0.912879142836918
"termite.count.100m","HEIC",-0.0191852085660499,0.376485000955146,-0.808798391645378,0.710522568474903
"urema_dist","HEIC",-0.450006047483153,0.286512793805093,-1.13851934667185,0.0388196153297528
"tree_hansen","HEIC",0.0319668699533352,0.417669700733354,-0.810618247890582,0.824132037097923
"termite.count.100m","HEPA",0.455984168269525,0.497194438363373,-0.434949895129964,1.52962002863212
"urema_dist","HEPA",-0.330972549785956,0.29136622206464,-0.916330434633079,0.267423450257048
"tree_hansen","HEPA",0.567047961466256,0.523013466510124,-0.392835775826513,1.70114867405507
"termite.count.100m","ICAL",-0.222097861872672,0.582516688321105,-1.33916410515006,1.01723201889093
"urema_dist","ICAL",-0.22545887789976,0.32917075299078,-0.811540195840386,0.551732418464841
"tree_hansen","ICAL",-0.476304779579044,0.714964762577702,-2.04016945668572,0.839988739858681
"termite.count.100m","LESE",-0.602844812804307,0.542522806732958,-1.80596591399747,0.26057091099798
"urema_dist","LESE",-0.357585307957547,0.259221862284021,-0.896801685702998,0.135378333791952
"tree_hansen","LESE",-0.075994352591234,0.429441529693033,-0.935261799238728,0.717312405351179
"termite.count.100m","MECA",0.0171853577653842,0.370909539391346,-0.67125194450755,0.83210418583974
"urema_dist","MECA",-0.381727518875541,0.260423434021175,-0.948301577916149,0.09105734709923
"tree_hansen","MECA",-0.0507792386361912,0.356271555313468,-0.784789416624621,0.627717017701936
"termite.count.100m","MUMU",0.283144494200471,0.637490265062194,-0.874493457647494,1.75494173178005
"urema_dist","MUMU",-0.300232266716481,0.32604819342567,-0.938697518866684,0.424709091260469
"tree_hansen","MUMU",0.537769576971609,0.626060139226933,-0.580041940670603,2.00673783515367
