"Factor","Value"
"termite.count.100m",-0.428551178727499
"urema_dist",-0.343132569619829
"tree_hansen",-0.16082105715556
"termite.count.100m",-0.140942642880308
"urema_dist",-0.118118812389985
"tree_hansen",-0.494884541227582
"termite.count.100m",-0.352271314347565
"urema_dist",-0.375459206935584
"tree_hansen",0.204657866300989
"termite.count.100m",0.0290689676485027
"urema_dist",-0.25605608816381
"tree_hansen",0.0759957673251383
"termite.count.100m",-0.423335318879283
"urema_dist",-0.686418399252076
"tree_hansen",-0.260094461741355
"termite.count.100m",0.376943012232972
"urema_dist",-0.338598724745529
"tree_hansen",0.055086738829329
"termite.count.100m",0.343615123552474
"urema_dist",-0.518789696194382
"tree_hansen",0.329771125008009
"termite.count.100m",-0.0941798173571937
"urema_dist",-0.237350837145177
"tree_hansen",0.819022448441733
"termite.count.100m",-0.21147296928246
"urema_dist",-0.502310587641706
"tree_hansen",0.132223664517302
"termite.count.100m",-0.00200931918430898
"urema_dist",-0.123304430341779
"tree_hansen",-0.11005377010755
"termite.count.100m",0.772475837630312
"urema_dist",-0.261311916575601
"tree_hansen",0.00972622272222617
"termite.count.100m",-0.410307196887951
"urema_dist",-0.254162236352533
"tree_hansen",-0.374312608308249
"termite.count.100m",0.00764227216319302
"urema_dist",-0.391108853867111
"tree_hansen",0.114987509950923
"termite.count.100m",-0.0269924088528525
"urema_dist",-0.456222711039082
"tree_hansen",0.310860087076905
"termite.count.100m",-0.445084653041165
"urema_dist",-0.242663373328001
"tree_hansen",0.0987156883871895
"termite.count.100m",0.424505740159596
"urema_dist",-0.488025591355131
"tree_hansen",-0.0880543167902915
"termite.count.100m",-0.258624373468695
"urema_dist",-0.185967640515835
"tree_hansen",-0.375398409292616
"termite.count.100m",0.061735205580304
"urema_dist",-0.389777427928551
"tree_hansen",-0.0823150492516138
"termite.count.100m",0.0872447330609126
"urema_dist",-0.109133066351498
"tree_hansen",0.172610201919136
"termite.count.100m",0.620242068891384
"urema_dist",-0.196727364065149
"tree_hansen",-0.294519611741152
"termite.count.100m",0.508007463464234
"urema_dist",-0.16249736788554
"tree_hansen",0.170036380629813
"termite.count.100m",0.431265360301224
"urema_dist",-0.606499231919426
"tree_hansen",0.789947143611757
"termite.count.100m",-0.088337555896692
"urema_dist",-0.208269558723151
"tree_hansen",0.090608855799296
"termite.count.100m",-0.026112106188765
"urema_dist",-0.262823750577219
"tree_hansen",-0.0652874656475411
"termite.count.100m",-0.0673386507395433
"urema_dist",-0.502621487661343
"tree_hansen",0.17562748038454
"termite.count.100m",0.166989562601151
"urema_dist",-0.373773670464705
"tree_hansen",0.216787789577576
"termite.count.100m",0.222190816372813
"urema_dist",-0.541137769181544
"tree_hansen",0.17627029677115
"termite.count.100m",0.053115822579923
"urema_dist",-0.363415964662857
"tree_hansen",0.0855385510845275
"termite.count.100m",-0.0825525628673252
"urema_dist",-0.262672811875001
"tree_hansen",0.294833686454579
"termite.count.100m",-0.0441973455261575
"urema_dist",-0.309840012207534
"tree_hansen",-0.0146079164320612
"termite.count.100m",0.50876392276493
"urema_dist",-0.151014621728349
"tree_hansen",0.0827155780534097
"termite.count.100m",0.245791484619742
"urema_dist",-0.212177134691827
"tree_hansen",0.467517090765276
"termite.count.100m",-0.137205908275832
"urema_dist",-0.278939563343574
"tree_hansen",0.301544837162118
"termite.count.100m",0.15388345067171
"urema_dist",-0.0808935646136646
"tree_hansen",0.0949336368478797
"termite.count.100m",0.0102881900130559
"urema_dist",-0.459928941224984
"tree_hansen",-0.522907254323704
"termite.count.100m",-0.137142113646778
"urema_dist",-0.364744413617177
"tree_hansen",-0.822189885976216
"termite.count.100m",-0.0281612567886035
"urema_dist",-0.321395195910015
"tree_hansen",-0.0345183103117113
"termite.count.100m",-0.211203412916749
"urema_dist",-0.239147405310971
"tree_hansen",0.382148651205961
"termite.count.100m",0.0377619579940246
"urema_dist",-0.575454558877154
"tree_hansen",0.356137969268325
"termite.count.100m",0.33360049081778
"urema_dist",-0.522995551262126
"tree_hansen",0.292863841433714
"termite.count.100m",-0.0206513525092679
"urema_dist",-0.320708957843451
"tree_hansen",0.10523281010289
"termite.count.100m",0.211498213128368
"urema_dist",-0.298299022425718
"tree_hansen",0.320660724631598
"termite.count.100m",0.304320583073482
"urema_dist",-0.141973700568694
"tree_hansen",0.508918684594409
"termite.count.100m",-0.21071604384482
"urema_dist",-0.377210526100939
"tree_hansen",-0.183303608605476
"termite.count.100m",-0.496107351204222
"urema_dist",-0.381249029070757
"tree_hansen",0.314515867363969
"termite.count.100m",0.0517695394043892
"urema_dist",0.148113817777966
"tree_hansen",0.199264351391314
"termite.count.100m",0.150152678931599
"urema_dist",-0.402174709963211
"tree_hansen",0.0728037471332093
"termite.count.100m",0.197542926516141
"urema_dist",-0.317195292855954
"tree_hansen",0.0107384999386903
"termite.count.100m",-0.174370727967838
"urema_dist",-0.307368853595965
"tree_hansen",0.210130859338537
"termite.count.100m",0.515787001924133
"urema_dist",-0.578720778366063
"tree_hansen",0.337892143938048
"termite.count.100m",-0.286181847597119
"urema_dist",-0.17939456137562
"tree_hansen",0.0503306958938315
"termite.count.100m",-0.00529131766252597
"urema_dist",-0.46783655010583
"tree_hansen",0.191582665779412
"termite.count.100m",0.232598392843856
"urema_dist",-0.242211868671328
"tree_hansen",-0.0917979995597058
"termite.count.100m",-0.643031286435087
"urema_dist",-0.244494887466248
"tree_hansen",-0.220191786140344
"termite.count.100m",0.434163518127534
"urema_dist",-0.160022151705187
"tree_hansen",0.473452116534186
"termite.count.100m",0.00767127595529382
"urema_dist",-0.355444975630974
"tree_hansen",0.175529198157696
"termite.count.100m",-0.0223843391386864
"urema_dist",-0.585671935227033
"tree_hansen",0.380241795227384
"termite.count.100m",0.271297413560642
"urema_dist",-0.602370962191921
"tree_hansen",0.367232005843389
"termite.count.100m",0.0508726568565115
"urema_dist",-0.377777952571089
"tree_hansen",0.305799902328772
"termite.count.100m",0.188626722397475
"urema_dist",0.0159862575118105
"tree_hansen",0.133663758549477
"termite.count.100m",0.426788441760881
"urema_dist",-0.496256815718822
"tree_hansen",0.496031955809751
"termite.count.100m",0.178494481337463
"urema_dist",-0.111905399097525
"tree_hansen",-0.230611961654249
"termite.count.100m",0.435010360758667
"urema_dist",-0.349849923776087
"tree_hansen",0.126070173995529
"termite.count.100m",-0.00316948407795953
"urema_dist",-0.370409630019274
"tree_hansen",0.59337410252572
"termite.count.100m",-0.198313560624094
"urema_dist",-0.301208323690105
"tree_hansen",0.1267514367048
"termite.count.100m",0.474938917084216
"urema_dist",0.11790552950855
"tree_hansen",0.486989989116711
"termite.count.100m",0.321425916323186
"urema_dist",-0.225126860410812
"tree_hansen",-0.958391812606472
"termite.count.100m",0.234666526354063
"urema_dist",-0.391785713191476
"tree_hansen",-0.0817561752107845
"termite.count.100m",0.0793979737744978
"urema_dist",-0.313084829942725
"tree_hansen",0.0132347288988823
"termite.count.100m",0.0834552117737575
"urema_dist",-0.552930812585642
"tree_hansen",0.57194864890802
"termite.count.100m",0.589146206132822
"urema_dist",-0.666309148947979
"tree_hansen",0.491970747696794
"termite.count.100m",-0.288338196551322
"urema_dist",-0.512322284390803
"tree_hansen",0.0831172678863339
"termite.count.100m",0.101098530598499
"urema_dist",-0.550562263646373
"tree_hansen",0.466003220267925
"termite.count.100m",-0.100166978515852
"urema_dist",-0.241346444526886
"tree_hansen",0.125718040470253
"termite.count.100m",0.0665790247592126
"urema_dist",-0.243795553376855
"tree_hansen",0.073450454273886
"termite.count.100m",-0.102378916949248
"urema_dist",-0.382050971691714
"tree_hansen",0.143669782163137
"termite.count.100m",0.10808362088567
"urema_dist",-0.628426637840907
"tree_hansen",0.0470242688120782
"termite.count.100m",-0.108785640222087
"urema_dist",-0.298398775996195
"tree_hansen",0.107998101732643
"termite.count.100m",0.0921601105771868
"urema_dist",-0.483668101152338
"tree_hansen",0.159781694753904
"termite.count.100m",-0.110403862953182
"urema_dist",-0.28447024781296
"tree_hansen",-0.211646028266626
"termite.count.100m",0.649967374998949
"urema_dist",0.0123800403384761
"tree_hansen",0.118602308386501
"termite.count.100m",0.00617372028196589
"urema_dist",-0.288998532297705
"tree_hansen",0.414290725157742
"termite.count.100m",0.212715290993294
"urema_dist",-0.259683630640161
"tree_hansen",-0.185423182330348
"termite.count.100m",0.47900066567898
"urema_dist",-0.524283063967218
"tree_hansen",0.198293813839972
"termite.count.100m",0.173979427469341
"urema_dist",-0.571461218037921
"tree_hansen",-0.900991237474993
"termite.count.100m",0.44702133475718
"urema_dist",-0.34438245152726
"tree_hansen",-0.38994490842378
"termite.count.100m",-0.424805489906559
"urema_dist",-0.135974847692052
"tree_hansen",0.131240060175404
"termite.count.100m",-0.169861495441582
"urema_dist",-0.590251263791065
"tree_hansen",0.701011785120709
"termite.count.100m",-0.207907837328513
"urema_dist",-0.621358348517808
"tree_hansen",0.0162542385376772
"termite.count.100m",-0.450983036178346
"urema_dist",-0.0364361261415241
"tree_hansen",-0.283495625294503
"termite.count.100m",0.166929204751309
"urema_dist",-0.249631715307037
"tree_hansen",-0.0677512761525411
"termite.count.100m",-0.15638860411849
"urema_dist",-0.256229338564
"tree_hansen",0.128783645662767
"termite.count.100m",-0.0606904565604529
"urema_dist",-0.341606073493475
"tree_hansen",0.0395520936937916
"termite.count.100m",0.253938129196172
"urema_dist",-0.573277491029275
"tree_hansen",0.364617927511854
"termite.count.100m",0.0711993473103947
"urema_dist",-0.226314953748318
"tree_hansen",0.480648338830566
"termite.count.100m",-0.577329398519487
"urema_dist",-0.229487604277815
"tree_hansen",0.470492382875956
"termite.count.100m",0.0531275594855794
"urema_dist",-0.327143579400387
"tree_hansen",0.242507344133684
"termite.count.100m",0.203803756791885
"urema_dist",-0.261995442393242
"tree_hansen",-2.78107839113417e-06
"termite.count.100m",-0.141847582746215
"urema_dist",-0.0956871844291355
"tree_hansen",0.142746510841531
"termite.count.100m",-0.0709809885496812
"urema_dist",-0.336659146646576
"tree_hansen",0.0770620576902443
"termite.count.100m",0.414446559472787
"urema_dist",-0.45599227409192
"tree_hansen",0.682478633734141
"termite.count.100m",-0.0651303194326908
"urema_dist",-0.239559154280228
"tree_hansen",0.0509882696607819
"termite.count.100m",-0.0701519001501378
"urema_dist",-0.212480412122601
"tree_hansen",-0.0490358564593206
"termite.count.100m",0.0916381790636775
"urema_dist",-0.148588718135433
"tree_hansen",-0.0417261884984961
"termite.count.100m",-0.190667826557117
"urema_dist",-0.165461512080202
"tree_hansen",0.0518473696985484
"termite.count.100m",0.3264706572988
"urema_dist",-0.0382484811521346
"tree_hansen",0.6514170745678
"termite.count.100m",-0.0476323034420079
"urema_dist",0.244444359077978
"tree_hansen",0.000346885412086329
"termite.count.100m",-0.0195907868880207
"urema_dist",-0.677428964335744
"tree_hansen",0.472043323023418
"termite.count.100m",-0.0747840904537565
"urema_dist",-0.113005363608029
"tree_hansen",-0.0435653733956304
"termite.count.100m",-0.277319671542883
"urema_dist",-0.0886628138946761
"tree_hansen",-0.40390634594055
"termite.count.100m",0.0682094636928547
"urema_dist",-0.497151202234025
"tree_hansen",0.25756899095929
"termite.count.100m",-0.14699867704008
"urema_dist",-0.326147368048224
"tree_hansen",0.0494716986971335
"termite.count.100m",-0.264930005372239
"urema_dist",-0.171035170263812
"tree_hansen",0.220551436642469
"termite.count.100m",0.243195259817136
"urema_dist",-0.262585808101589
"tree_hansen",-0.0810213902107424
"termite.count.100m",0.260272805011913
"urema_dist",-0.374391453951672
"tree_hansen",0.301343260476732
"termite.count.100m",-0.152006977814687
"urema_dist",-0.0974113637494065
"tree_hansen",-0.0412326499960236
"termite.count.100m",0.301395049315489
"urema_dist",-0.444234989661523
"tree_hansen",0.197237731586327
"termite.count.100m",-0.565372805141313
"urema_dist",-0.320109949461814
"tree_hansen",0.0624015392162357
"termite.count.100m",-0.550904671379814
"urema_dist",-0.45998964939263
"tree_hansen",-0.0698485321020514
"termite.count.100m",-0.338258384009523
"urema_dist",-0.426531653134017
"tree_hansen",-0.229152077576634
"termite.count.100m",0.793038180133626
"urema_dist",-0.481130482204657
"tree_hansen",0.0750993965973323
"termite.count.100m",0.271617545719913
"urema_dist",-0.306021274548217
"tree_hansen",0.0536859091586587
"termite.count.100m",0.124080302512223
"urema_dist",-0.337387744879386
"tree_hansen",-0.0436266749190946
"termite.count.100m",-0.0551055103173244
"urema_dist",-0.462048264064912
"tree_hansen",0.509026693576684
"termite.count.100m",0.177963540022336
"urema_dist",-0.365259478054024
"tree_hansen",0.450672622072097
"termite.count.100m",-0.64395980002699
"urema_dist",-0.565466337291012
"tree_hansen",0.119265486465417
"termite.count.100m",-0.126162906966911
"urema_dist",-0.221358756051865
"tree_hansen",0.375411573056949
"termite.count.100m",-0.128378614696393
"urema_dist",-0.17806620103898
"tree_hansen",0.623667796316406
"termite.count.100m",0.413775667612252
"urema_dist",-0.515805415713926
"tree_hansen",0.115008172288148
"termite.count.100m",-0.415847400008474
"urema_dist",-0.4597801822818
"tree_hansen",0.306119868584321
"termite.count.100m",-0.364483056921329
"urema_dist",-0.379490196159385
"tree_hansen",-0.100512170372592
"termite.count.100m",0.049786992245783
"urema_dist",-0.157650680423007
"tree_hansen",-0.137633156682524
"termite.count.100m",0.243570359765271
"urema_dist",-0.390913579962272
"tree_hansen",0.227237759052947
"termite.count.100m",0.179950425099844
"urema_dist",-0.45172673361198
"tree_hansen",0.119629199919908
"termite.count.100m",0.258128927005804
"urema_dist",-0.515607279006763
"tree_hansen",0.458097555144661
"termite.count.100m",0.384814328553889
"urema_dist",-0.7129891643308
"tree_hansen",0.62144145091807
"termite.count.100m",-0.476474693416338
"urema_dist",-0.274977067261069
"tree_hansen",0.639941487279292
"termite.count.100m",0.339396415749846
"urema_dist",-0.646696625043379
"tree_hansen",0.806806022602203
"termite.count.100m",-0.157577121613331
"urema_dist",-0.516863997520399
"tree_hansen",0.590580259723403
"termite.count.100m",0.03024795640419
"urema_dist",-0.238822064348221
"tree_hansen",0.0729380091817852
"termite.count.100m",0.0294249859105764
"urema_dist",-0.205643277538831
"tree_hansen",0.0343146905962134
"termite.count.100m",-0.323818411967604
"urema_dist",-0.109259500025773
"tree_hansen",0.235236406906026
"termite.count.100m",-0.0745343026300489
"urema_dist",-0.458518142093411
"tree_hansen",0.357050387708119
"termite.count.100m",-0.130452613252963
"urema_dist",-0.230106234673841
"tree_hansen",0.0866035686964137
"termite.count.100m",0.161458749710855
"urema_dist",-0.170100958397085
"tree_hansen",-0.0480648968788978
"termite.count.100m",0.0254335241286587
"urema_dist",-0.221580321295479
"tree_hansen",-0.0334049872906939
"termite.count.100m",0.110992481298595
"urema_dist",-0.319674902584909
"tree_hansen",-0.027614390082338
"termite.count.100m",0.193265187087125
"urema_dist",-0.242173537807499
"tree_hansen",-0.204109797258695
"termite.count.100m",0.0585973705987849
"urema_dist",-0.24502032798486
"tree_hansen",0.0980989204161877
"termite.count.100m",0.226707480463919
"urema_dist",0.0407967085402743
"tree_hansen",-0.25299883352086
"termite.count.100m",-0.0786124091232319
"urema_dist",-0.225211729920763
"tree_hansen",-0.201207644691181
"termite.count.100m",0.0530419788764255
"urema_dist",-0.371291826891332
"tree_hansen",0.00590241722251983
"termite.count.100m",-0.274809530175603
"urema_dist",-0.258736344479831
"tree_hansen",0.0717924600455762
"termite.count.100m",0.270811354650518
"urema_dist",-0.404525552369031
"tree_hansen",0.347151673520627
"termite.count.100m",0.0461828560293664
"urema_dist",-0.384879184499875
"tree_hansen",0.208843190618922
"termite.count.100m",-0.178161702824971
"urema_dist",-0.488737847644972
"tree_hansen",0.238661883754849
"termite.count.100m",-0.0868891517562779
"urema_dist",-0.159993306431323
"tree_hansen",-0.0992119632593945
"termite.count.100m",-0.0190149311673558
"urema_dist",-0.198557067291952
"tree_hansen",-0.377019011879006
"termite.count.100m",-0.086883392897289
"urema_dist",-0.372082311515729
"tree_hansen",0.422890639546447
"termite.count.100m",0.0705480742566208
"urema_dist",-0.203986345306736
"tree_hansen",0.151735035700763
"termite.count.100m",0.124508717599315
"urema_dist",-0.315052667525879
"tree_hansen",0.184588119068427
"termite.count.100m",-0.126963477807303
"urema_dist",-0.0842005642438203
"tree_hansen",-0.0612190386308121
"termite.count.100m",-0.0907357188332989
"urema_dist",-0.201700189165207
"tree_hansen",0.14627936484169
"termite.count.100m",-0.0964895058079355
"urema_dist",-0.265874039827276
"tree_hansen",0.0834086828244599
"termite.count.100m",0.292057665815775
"urema_dist",-0.469123551156891
"tree_hansen",0.108267606733073
"termite.count.100m",-0.366212083190761
"urema_dist",-0.163262893825169
"tree_hansen",0.0223864629844189
"termite.count.100m",0.190895934848837
"urema_dist",-0.149677700070407
"tree_hansen",0.116205475221656
"termite.count.100m",0.480979243058327
"urema_dist",-0.21611179703088
"tree_hansen",0.109029217661659
"termite.count.100m",-0.466415388304054
"urema_dist",-0.0605196818322279
"tree_hansen",-0.237605333539567
"termite.count.100m",0.350424782361129
"urema_dist",-0.59805668206946
"tree_hansen",0.454169240649026
"termite.count.100m",0.420557253404654
"urema_dist",-0.512461840526483
"tree_hansen",0.722963630191451
"termite.count.100m",-0.0716961334253612
"urema_dist",-0.52601441959283
"tree_hansen",0.388610024622354
"termite.count.100m",-0.0310229052915344
"urema_dist",-0.152354139665515
"tree_hansen",-0.2753396744655
"termite.count.100m",0.237806312446692
"urema_dist",0.0457880196243101
"tree_hansen",-0.597263230022223
"termite.count.100m",-0.126029624548127
"urema_dist",-0.612409842182385
"tree_hansen",0.6679570466938
"termite.count.100m",-0.108919624664688
"urema_dist",-0.359329800240284
"tree_hansen",-0.106892608021338
"termite.count.100m",0.54571383042383
"urema_dist",-0.748934600876372
"tree_hansen",0.801786133129834
"termite.count.100m",0.116718308181941
"urema_dist",-0.0288928554902354
"tree_hansen",-0.128473202888966
"termite.count.100m",-0.00622375475925491
"urema_dist",-0.722546750171815
"tree_hansen",0.156073122652348
"termite.count.100m",-0.281302915869197
"urema_dist",-0.319512900054933
"tree_hansen",0.542975884520502
"termite.count.100m",-0.0656156995101797
"urema_dist",-0.387571852540392
"tree_hansen",0.0668442685615918
"termite.count.100m",-0.016814202943861
"urema_dist",-0.286256531563128
"tree_hansen",0.108840840266912
"termite.count.100m",-0.108153594072553
"urema_dist",-0.615249002990949
"tree_hansen",-0.0143885345447097
"termite.count.100m",-0.378896442265756
"urema_dist",-0.13375312058817
"tree_hansen",0.158433206867111
"termite.count.100m",-0.519705091842646
"urema_dist",-0.301245451523867
"tree_hansen",-0.0744529172448574
"termite.count.100m",0.173418732100612
"urema_dist",-0.535477382184817
"tree_hansen",0.212618935232672
"termite.count.100m",-0.175732776064833
"urema_dist",-0.517254781121489
"tree_hansen",1.00789663397091
"termite.count.100m",0.100444944812309
"urema_dist",-0.414506136270002
"tree_hansen",0.144344835559505
"termite.count.100m",-0.14581141640532
"urema_dist",-0.407765862797859
"tree_hansen",0.0278494645192429
"termite.count.100m",-0.310161367144643
"urema_dist",-0.607051963976416
"tree_hansen",-0.397395459913192
"termite.count.100m",-0.0439121212454684
"urema_dist",-0.243094005564522
"tree_hansen",0.216804119721569
"termite.count.100m",-0.0165734551400513
"urema_dist",-0.367989749359744
"tree_hansen",0.418924291758708
"termite.count.100m",0.252322115567767
"urema_dist",-0.183116949493979
"tree_hansen",0.465693688920635
"termite.count.100m",-0.159382670260662
"urema_dist",-0.331645229367862
"tree_hansen",-0.143097611002847
"termite.count.100m",-0.404389511304588
"urema_dist",-0.182292570271014
"tree_hansen",0.562538033265517
"termite.count.100m",0.0969227608540029
"urema_dist",-0.366527571792065
"tree_hansen",0.162321075919208
"termite.count.100m",0.0264046259532023
"urema_dist",-0.237482311586971
"tree_hansen",-0.466029218050148
"termite.count.100m",-0.794898884138994
"urema_dist",-0.39851862655157
"tree_hansen",0.17466398132514
"termite.count.100m",-0.158761275311785
"urema_dist",-0.720437006906931
"tree_hansen",-0.165696104422163
"termite.count.100m",0.359080001995176
"urema_dist",-0.329670294691042
"tree_hansen",0.766463494994951
"termite.count.100m",-0.195720895244927
"urema_dist",-0.251994356575474
"tree_hansen",-0.280939364358672
"termite.count.100m",-0.620248392142797
"urema_dist",-0.32058168119677
"tree_hansen",0.520742859436626
"termite.count.100m",-0.720495659223313
"urema_dist",-0.309573341636753
"tree_hansen",0.0346191244900148
"termite.count.100m",-0.10071199155156
"urema_dist",-0.221229438858549
"tree_hansen",0.131650250609385
"termite.count.100m",-0.0328346692665523
"urema_dist",-0.440697801406989
"tree_hansen",-0.35563658042926
"termite.count.100m",0.00992784165451208
"urema_dist",-0.625985689283938
"tree_hansen",0.275577964129428
"termite.count.100m",-0.0271924006606303
"urema_dist",-0.49818994891477
"tree_hansen",-0.0976983556125444
"termite.count.100m",0.493614123659335
"urema_dist",-0.260742985572739
"tree_hansen",0.219520610956697
"termite.count.100m",0.14411127702005
"urema_dist",-0.43436834547316
"tree_hansen",0.51051396882052
